band_abbrev,band_copied,date_right_after_band,notes_copied
robreich,"""Rob Reich""",,""""""
robyn hitchcock,"""Robyn Hitchcock""",,""""""
rod stewart,"""Rod Stewart""",,""""""
rodolphe burger,"""Rodolphe Burger""",,""""""
rodolphe burger + james blood ulmer,"""Rodolphe Burger + James Blood Ulmer""",,""""""
roger mcguinn,"""Roger McGuinn""",,""""""
roger waters,"""Roger Waters""",,""""""
rogerhodgson,"""Roger Hodgson""",,""""""
rogerwaters,"""Roger Waters""",,""""""
roky erickson,"""Roky Erikson""",,""""""
rolling stones,"""The Rolling Stones""",,""""""
rollingstones,"""The Rolling Stones""",,""""""
rollins band,"""Rollins Band""",,""""""
romeo voida,"""Romeo Void""",,""""""
ronnieearl,"""Ronnie Earl""",,""""""
roos,"""The Roos""",,""""""
roots,"""The Roots""",,""""""
rootsfriends,"""The Roots""",,""""""
rorey,"""unknown""",,""""""
rory,"""Rory Gallagher""",,""""""
roryg,"""Rory Gallagher""",,""""""
rose hill drive,"""Rose Hill Drive""",,""""""
roseannecash,"""Roseanne Casg""",,""""""
rossjames,"""James Ross""",,""""""
rowan,"""Peter Rowan""",,""""""
roy harper,"""Roy Harper""",,""""""
roy harper jimmy page,"""Roy Harper and Jimmy Page""",,""""""
royal blood,"""Royal Blood""",,""""""
royal string quartet,"""Royal String Quartet""",,""""""
royalblood,"""Royal Blood""",,""""""
rp,"""unknown""",,""""""
rrdh,"""unknown""",,""""""
rt band,"""unknown""",,""""""
rtband,"""unknown""",,""""""
rtf,"""unknown""",,""""""
rthompson & musicians of globe,"""Richard Thompson""",,""""""
rtj,"""Run The Jewels""",,""""""
rtrower,"""Robin Trower""",,""""""
ru,"""unknown""",,""""""
rubythehatchet,"""Ruby The Hatchet""",,""""""
rufus wainwright,"""Rufus Wainwright""",,""""""
runshort,"""notband""",,""""""
rush,"""Rush""",,""""""
rushffm,"""Rush""",,""""""
russian songs chorus,"""notband""",,""""""
russliquidtest,"""Russ Liquid Test""",,""""""
russo,"""Joe Russo""",,""""""
rusted root,"""Rusted Root""",,""""""
ry,"""Ry Cooder""",,""""""
ry cooder & nick lowe,"""Ry Cooder and Nick Lowe""",,""""""
ryley,"""Ryley Walker""",,""""""
ryleywalker,"""Ryley Walker""",,""""""
s,"""unknown""",,""""""
s&a,"""unknown""",,""""""
s&g,"""Simon and Garfunkel""",,""""""
sabertooth,"""Sabertooth""",,""""""
sabrina carpenter,"""Sabrina Carpenter""",,""""""
sacred reich,"""Sacred Reich""",,""""""
saga,"""Saga""",,""""""
sagareichenbach,"""Saga""",,""""""
saint_vitus,"""Saint Vitus""",,""""""
sally,"""unknown""",,""""""
sallybarker&vickigenfan,"""Sally Barker and Vicki Genfan""",,""""""
sam carter,"""Sam Carter""",,""""""
sam outlaw,"""Sam Outlaw""",,""""""
sam smith,"""Sam Smith""",,""""""
samanthacrain,"""Samantha Crain""",,""""""
samanthafish,"""Samantha Fish""",,""""""
sambaker,"""Sam Baker""",,""""""
sambush,"""Sam Bush""",,""""""
samfish,"""Samantha Fish""",,""""""
samlamammasmannaprogday,"""Samla Mammas Manna""",,""""""
sample,"""Joe Sample""",,""""""
"sample, joe","""Joe Sample""",,""""""
samsarabluesexperiment,"""Samasara Blues Experiment""",,""""""
san fermin,"""San Fermin""",,""""""
santana,"""Santana""",,""""""
sarawatkins,"""Sara Watkins""",,""""""
saxon,"""Saxon""",,""""""
sbb,"""Sam Bush""",,""""""
sbush,"""Sam Bush""",,""""""
scatterwound,"""Scatterwound""",,""""""
scene,"""unknown""",,""""""
schizophonics,"""Schizophonics""",,""""""
school,"""unknown""",,""""""
"schroeter,breitfelder&willisohn","""Georg Schroeter, Marc Breitfelder, and Elektro Willi & Sohn""",,""""""
sci-disc,"""notband""",,""""""
scorpions,"""The Scorpions""",,""""""
scott,"""unknown""",,""""""
scrawl,"""Scrawl""",,""""""
script,"""The Script""",,""""""
seagulls,"""Seagulls""",,""""""
seanchambers,"""Sean Chambers""",,""""""
sebastianbach,"""Sebastian Bach""",,""""""
second nature,"""Second Nature""",,""""""
secret chiefs,"""Secret Chiefs 3""",,""""""
secret_empire,"""Secret Empire""",,""""""
secretchiefs,"""Secret Chiefs 3""",,""""""
security project,"""Security Project""",,""""""
seeger+guthrie,"""Pete Seeger and Woody or Arlo Guthrie""",,""""""
segment,"""Segment""",,""""""
selecter,"""Selecter""",,""""""
selwynbirchwood,"""Selwyn Birchwppd""",,""""""
semisonic,"""Semisonic""",,""""""
sendelica,"""Sendelica""",,""""""
senogul,"""Senogul""",,""""""
serenegreen,"""Serene Green""",,""""""
serenity,"""Serenity""",,""""""
set,"""unknown""",,""""""
seth lakeman,"""Seth Lakeman""",,""""""
sethlakeman,"""Seth Lakeman""",,""""""
setzer,"""Brian Setzer Orchestra""",,""""""
seun kuti,"""Seun Kuti""",,""""""
sevdaliza,"""Sevdaliza""",,""""""
severedheads_coldwaves,"""Severed Heads""",,""""""
sfas,"""unknown""",,""""""
sfjazz,"""SFJAZZ Collective""",,""""""
sfjazz collective,"""SFJAZZ Collective""",,""""""
sfjazzcollective,"""SFJAZZ Collective""",,""""""
sh,"""Shabaka Hutchings""",,""""""
shabaka hutchings,"""Shabaka Hutchings""",,""""""
shamanelephant,"""Shaman Elephant""",,""""""
shane,"""unknown""",,""""""
shannonmcnally,"""Shannon McNally""",,""""""
shaw,"""unknown""",,""""""
shawn.holt,"""Shawn Holt""",,""""""
shawncolvin,"""Shawn Colvin""",,""""""
shawnsmith,"""Shawn Smith""",,""""""
shelagh mcdonald,"""Shelagh McDonald""",,""""""
shelby lynne,"""Shelby Lynne""",,""""""
shelbylynne,"""Shelby Lynne""",,""""""
shellac,"""Shellac""",,""""""
sherrijackson,"""Sherri Jackson""",,""""""
shimabukuro,"""Jake Shimabukuro""",,""""""
shins,"""The Shins""",,""""""
shinyribs,"""Shiny Ribs""",,""""""
shirley & dolly collins,"""Shirley and Dolly Collins""",,""""""
shirleyholmes-kassel,"""Shirley Holmes-Kassel""",,""""""
shoeboxorchestra,"""Shoebox Orchestra""",,""""""
shooktwins,"""Shook Twins""",,""""""
shooter_jennings,"""Shooter Jennings""",,""""""
shovels & rope,"""Shovels & Rope""",,""""""
shovels and rope,"""Shovels & Rope""",,""""""
shovels&rope,"""Shovels & Rope""",,""""""
shovelsandrope,"""Shovels & Rope""",,""""""
sick puppies,"""Sick Puppies""",,""""""
siegel-schwall band,"""Siegel-Schwall Band""",,""""""
siegeseven,"""Sieges Even""",,""""""
siena root,"""Sienna Root""",,""""""
sierrahull,"""Sierra Hull""",,""""""
sigurros,"""Sigur Ros""",,""""""
sigurrÃ£Â³s,"""Sigur Ros""",,""""""
silent circle,"""Silent Circle""",,""""""
silos,"""The Silos""",,""""""
silverchair,"""Silverchair""",,""""""
simo,"""unknown""",,""""""
simon phillips protocol iv,"""Simon Phillips""",,""""""
simple minds,"""Simple Minds""",,""""""
siouxsie_roxy,"""Siouxie & The Banshees""",,""""""
sisters,"""unknown""",,"""Too many possibles to guess."""
sivu,"""Sivu""",,""""""
sixx am,"""Sixx:A.M.""",,""""""
size,"""unknown""",,""""""
sj,"""unknown""",,""""""
sjdk,"""unknown""",,""""""
sjk+bk,"""unknown""",,""""""
skatalites,"""Skatalites""",,""""""
skdlm,"""unknown""",,""""""
skeletal family,"""Skeletal Family""",,""""""
skids,"""The Skids""",,""""""
skinny girl diet,"""Skinny Girl Diet""",,""""""
skinny lister,"""Skinny Lister""",,""""""
skullflower,"""Skullflower""",,""""""
slade,"""Slade""",,""""""
slaid,"""
Slaid Cleaves""",,""""""
slaidcleaves,"""
Slaid Cleaves""",,""""""
slapp happy,"""Slapp Happy""",,""""""
slash,"""Slash""",,""""""
slayer,"""Slayer""",,""""""
sleafordmods,"""Sleaford Mods""",,""""""
sleater kinney,"""Sleater-Kinney""",,""""""
sleeper,"""Sleeper""",,""""""
sleepysun,"""Sleepy Sun""",,""""""
slo burn,"""Slo Burn""",,""""""
slotface,"""Slotface""",,""""""
slow.runner,"""Slow Runner""",,""""""
slowdive,"""Slowdive""",,""""""
sly & family stone,"""Sly & The Family Stone""",,""""""
small faces,"""Small Faces""",,""""""
smith,"""unknown""",,"""Too many possibiles to guess."""
"smith, patti","""Patti Smith""",,""""""
smithereens,"""The Smithereens""",,""""""
smiths,"""The Smiths""",,""""""
smj,"""unknown""",,""""""
smokinjoekubek,"""Smokin' Joe Kubek""",,""""""
smoorerwalterskerik,"""Stanton Moore, someone Walter, Skerik""",,""""""
smsptf,"""unknown""",,"""Given proximity, possibly another Stanton Moore combo."""
snapped ankles,"""Snapped Ankles""",,""""""
snarky,"""Snarky Puppy""",,""""""
snarky puppy,"""Snarky Puppy""",,""""""
soester gloria,"""Soester Gloria""",,""""""
soft machine legacy,"""Soft Machine Legacy""",,""""""
softmachine,"""Soft Machine""",,""""""
soh,"""unknown""",,""""""
solange,"""Solange""",,""""""
solstice,"""Solstice""",,""""""
son of the velvet rat,"""Son of the Velvet Rat""",,""""""
son seals,"""Son Seals""",,""""""
songsofbarlow,"""Songs of Barlow""",,"""More an event by a group of artists than a band, see https://www.brooklynbowl.com/event/1385627-songs-barlow-performed-by-brooklyn/"""
sonic dawn,"""The Sonic Dawn""",,""""""
sonics,"""The Sonics""",,""""""
sonlittle,"""Son Little""",,""""""
sonnylandreth,"""Sonny Landreth""",,""""""
sons of champlin,"""Sons of Champlin""",,""""""
sons.of.bill,"""Sons of Bill""",,""""""
sophie morgan,"""Sophie Morgan""",,""""""
sophistafunk,"""Sophistafunk""",,""""""
sopwith camel,"""Sopwith Camel""",,""""""
soraia,"""Soraia""",,""""""
sos,"""unknown""",,""""""
sosf,"""unknown""",,""""""
soul asylum,"""Soul Asylum""",,""""""
soulasylum,"""Soul Asylum""",,""""""
soulemonde,"""Soule Monde""",,""""""
soulfly,"""Soulfly""",,""""""
soulmonde,"""Soule Monde""",,""""""
sound,"""unknown""",,""""""
soundgarden,"""Soundgarden""",,""""""
southern blood,"""Southern Blood""",,""""""
southernave,"""Southern Avenue""",,""""""
southernbelles,"""Southern Belles""",,""""""
southside.johnny,"""Southside Johnny and the Asbury Jukes""",,""""""
sp,"""Smashing Pumpkins""",,""""""
space,"""unknown""",,""""""
space ritual,"""Space Ritual""",,""""""
spacehog,"""Spacehog""",,""""""
spaceman spiff,"""Spaceman Spiff""",,""""""
spafford,"""Spafford""",,""""""
spampinatos,"""The Spampinato Brothers""",,""""""
sparrowquartet,"""Sparrow Quartet""",,""""""
spidergawd,"""Spidergawd""",,""""""
spirit,"""Spirit""",,""""""
spirit_of_baseball,"""unknown""",,""""""
spiritualized,"""Spiritualized""",,""""""
splitliprayfield,"""Split Lip Rayfield""",,""""""
sponge,"""Sponge""",,""""""
spook school,"""Spook School""",,""""""
spps,"""unknown""",,""""""
spps-tutr,"""unknown""",,""""""
springsteen,"""Bruce Springsteen""",,""""""
spz,"""unknown""",,""""""
sq,"""unknown""",,""""""
squeeze,"""Squeeze""",,""""""
sra,"""unknown""",,""""""
srh,"""unknown""",,""""""
srstl,"""unknown""",,""""""
srv,"""Stevie Ray Vaughn""",,""""""
ssj,"""unknown""",,""""""
ssundfÃ£Â¸r,"""unknown""",,""""""
st vincent,"""St. Vincent""",,""""""
st-too,"""unknown""",,""""""
stacey earle,"""Stacey Earle""",,""""""
stacia,"""Stacia""",,""""""
stanleyclarke,"""Stanley Clarke""",,""""""
stars,"""Stars""",,""""""
stash,"""unknown""",,""""""
statesboro,"""unknown""",,""""""
stedeschi,"""Susan Tedeschi""",,""""""
steel pulse,"""Steel Pulse""",,""""""
steeleyespan,"""Steeleye Span""",,""""""
steelwheels,"""Steel Wheels""",,""""""
steely dan,"""Steely Dan""",,""""""
steelydan,"""Steely Dan""",,""""""
stephen,"""unknown""",,""""""
steppenwolf,"""Steppenwolf""",,""""""
stereolab,"""Sterolab""",,""""""
stereophonics,"""Sterophonics""",,""""""
stereos,"""Stereos""",,""""""
steve,"""unknown""",,""""""
steve earle,"""Steve Earle""",,""""""
steve gunn,"""Steve Gunn""",,""""""
steve hackett,"""Steve Hackett""",,""""""
steve hillage,"""Steve Hillage""",,""""""
steve miller band,"""Steve Miller Band""",,""""""
steve winwood,"""Steve Winwood""",,""""""
steveearle,"""Steve Earle""",,""""""
stevewindwood,"""Steve Winwood""",,""""""
stevewinwood,"""Steve Winwood""",,""""""
stevie ray vaughan,"""Stevie Ray Vaughn""",,""""""
steviewonder,"""Stevie Wonder""",,""""""
stianwesterhusv,"""Stian Westerhus""",,""""""
stick figure,"""Stick Figure""",,""""""
stick_men,"""Stick Men""",,""""""
stickley,"""unknown""",,""""""
stiffwoodies,"""Stiff Woodies""",,""""""
stig,"""unknown""",,""""""
sting,"""Sting""",,""""""
stlukes,"""St. Luke's Steel Band""",,""""""
stp,"""Stone Temple Pilots""",,""""""
strandofoaks,"""Strand of Oaks""",,""""""
strawbs,"""Strawbs""",,""""""
straybirds,"""The Stray Birds""",,""""""
stringdusters,"""Infamous Stringdusters""",,""""""
sts,"""unknown""",,""""""
stu larsen,"""Stu Larsen""",,""""""
sturgillsimpson,"""Sturgell Simpson""",,""""""
stvitus,"""St. Vitus""",,""""""
stwbruceprichard,"""Something to Wrestle with Bruce Prichard""",,"""This is a radio show/podcast. WTF?"""
style council,"""Style Council""",,""""""
styx,"""Styx""",,""""""
sublime,"""Sublime""",,""""""
submasq,"""Subterranean Masquerade""",,""""""
subsonic_eye,"""Subsonic Eye""",,""""""
substance,"""Substance""",,""""""
suede,"""Suede""",,""""""
sugar,"""Sugar""",,""""""
sugarfoot,"""Sugarfoot""",,""""""
sugarray,"""Sugar Ray""",,""""""
sumofr,"""Sum Of R""",,""""""
sundays,"""The Sundays""",,""""""
sundays & cybele,"""Sundays & Cybele""",,""""""
sundays&cybele,"""Sundays & Cybele""",,""""""
sunjones,"""Sun Jones""",,""""""
sunliner,"""Sunliner""",,""""""
sunny war,"""Sunny War""",,""""""
sunnydayinglasgow,"""A Sunny Day In Glasgow""",,""""""
supersilent,"""Supersilent""",,""""""
supersuckers,"""Supersuckers""",,""""""
susan tedeschi,"""Susan Tedeschi""",,""""""
susanwerner,"""Susan Werner""",,""""""
susto,"""Susto""",,""""""
suzannevega,"""Suzanne Vega""",,""""""
sv,"""Suzanne Vega""",,""""""
sv demos,"""Suzanne Vega""",,""""""
sve,"""unknown""",,""""""
swans,"""Swans""",,""""""
swinwood,"""Steve Winwood""",,""""""
switchfoot,"""Switchfoot""",,""""""
swonder,"""Stevie Wonder""",,""""""
syl,"""unknown""",,""""""
systema solar,"""Systema Solar""",,""""""
tabache,"""unknown""",,""""""
tabbenoit,"""Tab Benoit""",,""""""
tadream,"""Tangerine Dream""",,""""""
tajmo,"""TajMo""",,""""""
tajmo albany,"""TajMo""",,""""""
takacs.ohlsson,"""Takács Quartet""",,""""""
take me to the river harris center,"""notband""",,""""""
takuya kuroda,"""Takuya Kuroda""",,""""""
talking heads,"""Talking Heads""",,""""""
talkingdreads,"""Talking Dreads""",,""""""
talkingheads,"""Talking Heads""",,""""""
talwilkenfeld,"""Tal Wilkenfeld""",,""""""
tamikrest,"""Tamikrest""",,""""""
tampa,"""unknown""",,""""""
tangekanic,"""Tangekanic""",,""""""
tangerine dream,"""Tangerine Dream""",,""""""
tauk,"""Tauk""",,""""""
taz,"""unknown""",,"""Could be a reading of Temporary Autonomous Zone by Kahim Bey"""
tba,"""The Black Angels""",,""""""
tbc,"""The Black Crowes""",,""""""
tbp,"""unknown""",,""""""
tbt,"""unknown""",,""""""
tcv,"""unknown""",,""""""
tea party,"""Tea Party""",,""""""
teardrop explodes,"""Teardrop Explodes""",,""""""
tearsofsilver,"""Tears of Silver""",,""""""
teb,"""unknown""",,""""""
teenage fanclub,"""Teenage Fanclub""",,""""""
teganandsara,"""Tegan and Sara""",,""""""
teil,"""unknown""",,""""""
teishi,"""Tei Shi""",,""""""
telesma,"""Telesma""",,""""""
television,"""Television""",,""""""
temperance,"""Temperance""",,""""""
temples,"""Temples""",,""""""
ten years after,"""Ten Years After""",,""""""
terenceblanchard,"""Terence Blanchard""",,""""""
terje rypdal,"""Terje Rypdal""",,""""""
terjerypdal,"""Terje Rypdal""",,""""""
ternheim,"""Anna Ternheim""",,""""""
terry reid,"""Terry Reid""",,""""""
tesla,"""Tesla""",,""""""
testament,"""Testament""",,""""""
texas,"""Texas""",,""""""
texasgentlemen,"""Texas Gentlemen""",,""""""
tgfs,"""Thank God For Science""",,""""""
thankgodforscience,"""Thank God For Science""",,""""""
thanks,"""unknown""",,""""""
thardy,"""unknown""",,""""""
thastrom,"""Joakim Thåström""",,""""""
the,"""unknown""",,""""""
the amazons,"""The Amazons""",,""""""
the animen,"""The Animen""",,""""""
the bad plus,"""The Bad Plus""",,""""""
the band,"""The Band""",,""""""
the blow,"""The Blow""",,""""""
the breeders,"""The Breeders""",,""""""
the church,"""The Church""",,""""""
the commodores,"""The Commodores""",,""""""
the courtneys,"""The Courtneys""",,""""""
the cranberries,"""The Cranberries""",,""""""
the cult,"""The Cult""",,""""""
the cure,"""The Cure""",,""""""
the damned,"""The Damned""",,""""""
the devil makes three,"""The Devil Makes Three""",,""""""
the districts,"""The Districts""",,""""""
the dove and the wolf,"""The Dove and the Wolf""",,""""""
the fall,"""The Fall""",,""""""
the flesh eaters,"""The Flesh Eaters""",,""""""
the grays,"""The Grays""",,""""""
the green,"""The Green""",,""""""
the hardy rocks,"""unknown""",,""""""
the late ones,"""The Late Ones""",,""""""
the liberators,"""The Liberators""",,""""""
the london souls,"""The London Souls""",,""""""
the magpie salute,"""The Magpie Salute""",,""""""
the marcus king band,"""The Marcus King Band""",,""""""
the mission,"""The Mission""",,""""""
the monkeywrench,"""The Monkeywrench""",,""""""
the movement,"""The Movement""",,""""""
the national,"""The National""",,""""""
the nefilim,"""The Nefilim""",,""""""
the pack,"""The Pack""",,""""""
the pixies,"""Pixies""",,""""""
the police,"""The Police""",,""""""
the record co,"""The Record Company""",,""""""
the residents,"""The Residents""",,""""""
the rolling stones,"""The Rolling Stones""",,""""""
the shelters,"""The Shelters""",,""""""
the sons of soul revivers,"""The Sons of Soul Revivers""",,""""""
the soul shakers,"""The Soul Shakers""",,""""""
the spectrum,"""The Spectrum""",,""""""
the tipitina's interns,"""Tipitina's Interns""",,""""""
the treasure of love,"""notband""",,""""""
the twinkle brothers,"""Twinkle Brothers""",,""""""
the wailers,"""The Wailers""",,""""""
the war on drugs,"""The War On Drugs""",,""""""
the waterboys,"""The Waterboys""",,""""""
the xx,"""The xx""",,""""""
the-dream-syndicate,"""The Dream Syndicate""",,""""""
the-hellacopters,"""The Hellacopters""",,""""""
the.dream.syndicate,"""The Dream Syndicate""",,""""""
the.good.lovelies,"""The Good Lovelies""",,""""""
the.schramms,"""The Schramms""",,""""""
the.war.on.drugs,"""The War On Drugs""",,""""""
the_bayou,"""unknown""",,""""""
the_iguanas,"""The Iguanas""",,""""""
the_ordinaires,"""The Ordinaires""",,""""""
the_pixies,"""Pixies""",,""""""
the_who,"""The Who""",,""""""
theanswer,"""The Answer""",,""""""
thebitter,"""Bitter""",,""""""
theblack,"""The Black""",,""""""
thebrainsurgeons,"""The Brain Surgeons""",,""""""
thebreeze,"""The Breeze Band""",,""""""
thebuilding,"""The Building""",,""""""
thecadillacthree,"""The Cadillac Three""",,""""""
thecasa,"""unknown""",,""""""
thechurch,"""The Church""",,""""""
theclash,"""The Clash""",,""""""
thecleaners,"""The Cleaners""",,""""""
thecommonheart,"""The Commonheart""",,""""""
thecosmicdead,"""The Cosmic Dead""",,""""""
thecountryboys,"""The Country Boys""",,""""""
thedead,"""The Dead""",,""""""
thedirtbombs,"""The Dirtbombs""",,""""""
thedreamsyndicate,"""The Dream Syndicate""",,""""""
theend,"""The End""",,""""""
theessink,"""Hans Theessink""",,""""""
thefall,"""The Fall""",,""""""
thefixx,"""The Fixx""",,""""""
theflyingeyes,"""The Flying Eyes""",,""""""
theghostwolves,"""The Ghost Wolves""",,""""""
thegreatescape,"""The Great Escape""",,""""""
thegwcbcwin,"""unknown""",,""""""
theharveysteelshow,"""The Harvey Steel Show""",,""""""
theherman,"""unknown""",,""""""
thehiggs,"""The Higgs""",,""""""
thekrickets,"""The Krickets""",,""""""
thelas,"""The La's""",,""""""
thelocksmiths,"""The Locksmiths""",,""""""
themachine,"""The Machine""",,""""""
themagpie,"""The Magpie Salute""",,""""""
themagpiesalute,"""The Magpie Salute""",,""""""
themasari,"""unknown""",,""""""
themasonics,"""The Masonics""",,""""""
themedicinalpurpose,"""The Medicinal Purpose""",,""""""
themis,"""unknown""",,""""""
themosierbrothers,"""The Mosier Brothers""",,""""""
themotet,"""The Motet""",,""""""
themuffinsprogday,"""The Muffins""",,""""""
themysterylights,"""The Mystery Lights""",,""""""
theorganics,"""The Organics""",,""""""
thepersuasions,"""The Persuasions""",,""""""
thepietasters,"""The Pietasters""",,""""""
thepolice,"""The Police""",,""""""
theramones,"""The Ramones""",,""""""
therapy,"""Therapy?""",,""""""
therecord,"""The Record Company""",,""""""
therecordcompany,"""The Record Company""",,""""""
therevivalists,"""The Revivalists""",,""""""
therevolution,"""The Revolution""",,""""""
thesadies,"""The Sadies""",,""""""
thesonics,"""The Sonics""",,""""""
thesoulshine,"""The Soulshine Blues Band""",,""""""
thesweet,"""The Sweet""",,""""""
theteaparty,"""The Tea Party""",,""""""
thethe,"""The The""",,""""""
thetruth,"""The Truth""",,""""""
theundergroundrailroadprogday,"""The Underground Railroad""",,""""""
thevervepipe,"""The Verve Pipe""",,""""""
thewailers,"""The Wailers""",,""""""
thewar,"""The War On Drugs""",,""""""
thewarondrugs,"""The War On Drugs""",,""""""
thewaterboys,"""The Waterboys""",,""""""
theweight,"""The Weight""",,""""""
thewell,"""The Well""",,""""""
they might be giants,"""They Might Be Giants""",,""""""
theyoungers,"""The Youngers""",,""""""
thin lizzy,"""Thin Lizzy""",,""""""
thin white rope,"""Thin White Rope""",,""""""
thinkingplagueprogday,"""Thinking Plague""",,""""""
thirty seconds to mars,"""Thirty Seconds To Mars""",,""""""
this is the kit,"""This Is The Kit""",,""""""
thorogood,"""George Thorogood""",,""""""
"thoroughgood, george","""George Thorogood""",,""""""
thresholdaburg,"""Threshold""",,""""""
thunders lloyd stones jam,"""Johnny Thunders & Richard Lloyd""",,""""""
tift merrit,"""Tift Merritt""",,""""""
tift.merritt,"""Tift Merritt""",,""""""
tiftmerritt,"""Tift Merritt""",,""""""
tim o'brien,"""Tim O'Brien""",,""""""
timeaston,"""Tim Easton""",,""""""
timmontana,"""Tim Montana""",,""""""
timo'brien,"""Tim O'Brien""",,""""""
tinsley ellis,"""Tinsley Ellis""",,""""""
tjkirk,"""TJ Kirk""",,"""Not a musician--YouTuber"""
tmbg,"""They Might Be Giants""",,""""""
tmbtf,"""unknown""",,""""""
tmde,"""unknown""",,""""""
tmkb,"""unknown""",,""""""
tmp,"""unknown""",,""""""
tmttrl,"""unknown""",,""""""
toadies,"""The Toadies""",,""""""
tob,"""unknown""",,""""""
tobias hoffmann trio,"""Tobias Hoffmann Trio""",,""""""
toddla,"""Toddla T""",,""""""
toddsheaffer,"""Todd Sheaffer""",,""""""
toefat,"""Toe Fat""",,""""""
tokyo,"""Tokyo""",,""""""
tolvan big band,"""Tolvan Big Band""",,""""""
tom chaplin,"""Tom Chaplin""",,""""""
tom grennan,"""Tom Grennan""",,""""""
tom petty,"""Tom Petty""",,""""""
tom petty & mudcrutch,"""Mudcrutch""",,""""""
tom petty & the heartbreakers,"""Tom Petty & The Heartbreakers""",,""""""
tom petty and the heartbreakers,"""Tom Petty & The Heartbreakers""",,""""""
tom tones on tail,"""Tones on Tail""",,""""""
tom.petty,"""Tom Petty""",,""""""
tom_petty,"""Tom Petty""",,""""""
tomcochrane,"""Tom Cochrane""",,""""""
tommy keene,"""Tommy Keene""",,""""""
tommycastro,"""Tommy Castro""",,""""""
tompaxton,"""Tom Paxton""",,""""""
tompetty,"""Tom Petty""",,""""""
tony visconti & woody woodmansey's holy holy barts,"""Holy Holy""",,""""""
toots & the maytals,"""Toots & The Maytals""",,""""""
toots and the maytals,"""Toots & The Maytals""",,""""""
tord gustavsen,"""Tord Gustavsen""",,""""""
tori,"""Tori Amos""",,""""""
tori amos,"""Tori Amos""",,""""""
toronto,"""Toronto""",,""""""
torres,"""Torres""",,""""""
touchstone,"""Touchstone""",,""""""
"toure,vieux farka","""Vieux Farka Touré""",,""""""
townes,"""Townes Van Zandt""",,""""""
townes van zandt,"""Townes Van Zandt""",,""""""
townes_van_zandt,"""Townes Van Zandt""",,""""""
townesvanzandt,"""Townes Van Zandt""",,""""""
townmountain,"""Town Mountain""",,""""""
toxicholocaust,"""Toxic Holocaust""",,""""""
tp&hb,"""Tom Petty & The Heartbreakers""",,""""""
tp-bc,"""unknown""",,""""""
tpetty,"""Tom Petty""",,""""""
tph,"""Tom Petty & The Heartbreakers""",,""""""
tphb,"""Tom Petty & The Heartbreakers""",,""""""
tqa,"""unknown""",,""""""
traa,"""Traa Daniels""",,""""""
traccia,"""notband""",,""""""
trace elements,"""Trace Elements""",,""""""
traffic,"""Traffic""",,""""""
traffrichva,"""Traffic""",,""""""
traffwint,"""Traffic""",,""""""
tragicallyhip,"""The Tragically Hip""",,""""""
trail of dead,""". . .And You Will Know Us By The Trail of Dead""",,""""""
trans-aeolian transmission,"""Trans-Aeolian Transmission""",,""""""
transatlanticsessions,"""Transatlantic Sessions""",,""""""
travelinmccourys,"""Travelin McCourys""",,""""""
travers,"""unknown""",,"""multiple possibilities"""
trevorgordonhall,"""Trevor Gordon Hall""",,""""""
trevorhall,"""Trevor Gordon Hall""",,""""""
trewes,"""unknown""",,""""""
trey anastasio,"""Trey Anastasio""",,""""""
treyanastasio,"""Trey Anastasio""",,""""""
tribal seeds,"""Tribal Seeds""",,""""""
tribute,"""Tribute""",,""""""
tricky,"""Tricky""",,""""""
triggerfinger,"""Triggerfinger""",,""""""
triobeyond,"""Trio Beyond""",,""""""
trivium,"""Trivium""",,""""""
trm,"""unknown""",,""""""
trombone shorty,"""Trombone Shorty""",,""""""
trower,"""Robin Trower""",,""""""
trp,"""unknown""",,""""""
trust,"""Trust""",,""""""
tsb,"""unknown""",,""""""
tsnider,"""Todd Snider""",,""""""
tsnke,"""unknown""",,""""""
tsol,"""TSOL""",,""""""
tsw,"""unknown""",,""""""
tt,"""unknown""",,""""""
ttb,"""unknown""",,""""""
ttd,"""unknown""",,""""""
tth,"""unknown""",,""""""
ttp,"""unknown""",,""""""
tuber,"""Tuber""",,""""""
tubes,"""The Tubes""",,""""""
tubularbrass,"""Tubular Brass""",,""""""
turbofruits,"""Turbo Fruits""",,""""""
turbonegro,"""Turbonegro""",,""""""
turin brakes,"""Turin Brakes""",,""""""
turin breaks and martha ffion,"""Turin Breaks and Martha Ffion""",,""""""
turn_the_pages,"""notband""",,""""""
turningpoint,"""Turning Point""",,""""""
tuts,"""The Tuts""",,""""""
tuxedomoon,"""Tuxedomoon""",,""""""
tvz,"""Townes Van Zandt""",,""""""
tw,"""Tom Waits""",,""""""
twatts,"""unknown""",,""""""
twdw,"""unknown""",,""""""
twdy,"""unknown""",,""""""
tweed,"""Jeff Tweedy""",,""""""
tweedy,"""Jeff Tweedy""",,""""""
twin criminal,"""Twin Criminal""",,""""""
twink,"""Twink""",,""""""
twinpeaks,"""Twin Peaks""",,""""""
twisted sister,"""Twisted Sister""",,""""""
twisted_sister,"""Twisted Sister""",,""""""
twod,"""The War On Drugs""",,""""""
twr,"""unknown""",,""""""
tyg,"""unknown""",,""""""
tyler,"""unknown""",,""""""
tylerchilders,"""Tyler Childers""",,""""""
type o negative,"""Type O Negative""",,""""""
